"GEOID","Location","County","Date","cases","INTPTLAT","INTPTLONG","cases_per_100k"
10003010101,"Census Tract 101.01","New Castle County",2020-03-08,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-03-15,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-03-22,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-03-29,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-04-05,15,39.8139503,-75.4530991,328
10003010101,"Census Tract 101.01","New Castle County",2020-04-12,3,39.8139503,-75.4530991,66
10003010101,"Census Tract 101.01","New Castle County",2020-04-19,7,39.8139503,-75.4530991,153
10003010101,"Census Tract 101.01","New Castle County",2020-04-26,5,39.8139503,-75.4530991,109
10003010101,"Census Tract 101.01","New Castle County",2020-05-03,9,39.8139503,-75.4530991,197
10003010101,"Census Tract 101.01","New Castle County",2020-05-10,2,39.8139503,-75.4530991,44
10003010101,"Census Tract 101.01","New Castle County",2020-05-17,1,39.8139503,-75.4530991,22
10003010101,"Census Tract 101.01","New Castle County",2020-05-24,5,39.8139503,-75.4530991,109
10003010101,"Census Tract 101.01","New Castle County",2020-05-31,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-06-07,1,39.8139503,-75.4530991,22
10003010101,"Census Tract 101.01","New Castle County",2020-06-14,4,39.8139503,-75.4530991,88
10003010101,"Census Tract 101.01","New Castle County",2020-06-21,3,39.8139503,-75.4530991,66
10003010101,"Census Tract 101.01","New Castle County",2020-06-28,2,39.8139503,-75.4530991,44
10003010101,"Census Tract 101.01","New Castle County",2020-07-05,3,39.8139503,-75.4530991,66
10003010101,"Census Tract 101.01","New Castle County",2020-07-12,2,39.8139503,-75.4530991,44
10003010101,"Census Tract 101.01","New Castle County",2020-07-19,4,39.8139503,-75.4530991,88
10003010101,"Census Tract 101.01","New Castle County",2020-07-26,3,39.8139503,-75.4530991,66
10003010101,"Census Tract 101.01","New Castle County",2020-08-02,4,39.8139503,-75.4530991,88
10003010101,"Census Tract 101.01","New Castle County",2020-08-09,2,39.8139503,-75.4530991,44
10003010101,"Census Tract 101.01","New Castle County",2020-08-16,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-08-23,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-08-30,3,39.8139503,-75.4530991,66
10003010101,"Census Tract 101.01","New Castle County",2020-09-06,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-09-13,3,39.8139503,-75.4530991,66
10003010101,"Census Tract 101.01","New Castle County",2020-09-20,1,39.8139503,-75.4530991,22
10003010101,"Census Tract 101.01","New Castle County",2020-09-27,0,39.8139503,-75.4530991,0
10003010101,"Census Tract 101.01","New Castle County",2020-10-04,5,39.8139503,-75.4530991,109
10003010101,"Census Tract 101.01","New Castle County",2020-10-11,2,39.8139503,-75.4530991,44
10003010101,"Census Tract 101.01","New Castle County",2020-10-18,2,39.8139503,-75.4530991,44
10003010101,"Census Tract 101.01","New Castle County",2020-10-25,2,39.8139503,-75.4530991,44
10003010101,"Census Tract 101.01","New Castle County",2020-11-01,4,39.8139503,-75.4530991,88
10003010101,"Census Tract 101.01","New Castle County",2020-11-08,12,39.8139503,-75.4530991,263
10003010101,"Census Tract 101.01","New Castle County",2020-11-15,13,39.8139503,-75.4530991,284
10003010101,"Census Tract 101.01","New Castle County",2020-11-22,14,39.8139503,-75.4530991,306
10003010101,"Census Tract 101.01","New Castle County",2020-11-29,24,39.8139503,-75.4530991,525
10003010101,"Census Tract 101.01","New Castle County",2020-12-06,23,39.8139503,-75.4530991,503
10003010101,"Census Tract 101.01","New Castle County",2020-12-13,9,39.8139503,-75.4530991,197
10003010101,"Census Tract 101.01","New Castle County",2020-12-20,5,39.8139503,-75.4530991,109
10003010104,"Census Tract 101.04","New Castle County",2020-03-08,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-03-15,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-03-22,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-03-29,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-04-05,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-04-12,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-04-19,12,39.7961063,-75.4534792,351
10003010104,"Census Tract 101.04","New Castle County",2020-04-26,1,39.7961063,-75.4534792,29
10003010104,"Census Tract 101.04","New Castle County",2020-05-03,5,39.7961063,-75.4534792,146
10003010104,"Census Tract 101.04","New Castle County",2020-05-10,5,39.7961063,-75.4534792,146
10003010104,"Census Tract 101.04","New Castle County",2020-05-17,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-05-24,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-05-31,1,39.7961063,-75.4534792,29
10003010104,"Census Tract 101.04","New Castle County",2020-06-07,1,39.7961063,-75.4534792,29
10003010104,"Census Tract 101.04","New Castle County",2020-06-14,1,39.7961063,-75.4534792,29
10003010104,"Census Tract 101.04","New Castle County",2020-06-21,1,39.7961063,-75.4534792,29
10003010104,"Census Tract 101.04","New Castle County",2020-06-28,1,39.7961063,-75.4534792,29
10003010104,"Census Tract 101.04","New Castle County",2020-07-05,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-07-12,-1,39.7961063,-75.4534792,-29
10003010104,"Census Tract 101.04","New Castle County",2020-07-19,4,39.7961063,-75.4534792,117
10003010104,"Census Tract 101.04","New Castle County",2020-07-26,6,39.7961063,-75.4534792,176
10003010104,"Census Tract 101.04","New Castle County",2020-08-02,2,39.7961063,-75.4534792,59
10003010104,"Census Tract 101.04","New Castle County",2020-08-09,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-08-16,2,39.7961063,-75.4534792,59
10003010104,"Census Tract 101.04","New Castle County",2020-08-23,3,39.7961063,-75.4534792,88
10003010104,"Census Tract 101.04","New Castle County",2020-08-30,2,39.7961063,-75.4534792,59
10003010104,"Census Tract 101.04","New Castle County",2020-09-06,0,39.7961063,-75.4534792,0
10003010104,"Census Tract 101.04","New Castle County",2020-09-13,4,39.7961063,-75.4534792,117
10003010104,"Census Tract 101.04","New Castle County",2020-09-20,2,39.7961063,-75.4534792,59
10003010104,"Census Tract 101.04","New Castle County",2020-09-27,2,39.7961063,-75.4534792,59
10003010104,"Census Tract 101.04","New Castle County",2020-10-04,1,39.7961063,-75.4534792,29
10003010104,"Census Tract 101.04","New Castle County",2020-10-11,-1,39.7961063,-75.4534792,-29
10003010104,"Census Tract 101.04","New Castle County",2020-10-18,2,39.7961063,-75.4534792,59
10003010104,"Census Tract 101.04","New Castle County",2020-10-25,2,39.7961063,-75.4534792,59
10003010104,"Census Tract 101.04","New Castle County",2020-11-01,11,39.7961063,-75.4534792,322
10003010104,"Census Tract 101.04","New Castle County",2020-11-08,10,39.7961063,-75.4534792,293
10003010104,"Census Tract 101.04","New Castle County",2020-11-15,12,39.7961063,-75.4534792,351
10003010104,"Census Tract 101.04","New Castle County",2020-11-22,12,39.7961063,-75.4534792,351
10003010104,"Census Tract 101.04","New Castle County",2020-11-29,24,39.7961063,-75.4534792,702
10003010104,"Census Tract 101.04","New Castle County",2020-12-06,25,39.7961063,-75.4534792,732
10003010104,"Census Tract 101.04","New Castle County",2020-12-13,14,39.7961063,-75.4534792,410
10003010104,"Census Tract 101.04","New Castle County",2020-12-20,2,39.7961063,-75.4534792,59
10003010300,"Census Tract 103","New Castle County",2020-03-08,0,39.8024262,-75.4675404,0
10003010300,"Census Tract 103","New Castle County",2020-03-15,0,39.8024262,-75.4675404,0
10003010300,"Census Tract 103","New Castle County",2020-03-22,0,39.8024262,-75.4675404,0
10003010300,"Census Tract 103","New Castle County",2020-03-29,0,39.8024262,-75.4675404,0
10003010300,"Census Tract 103","New Castle County",2020-04-05,11,39.8024262,-75.4675404,384
10003010300,"Census Tract 103","New Castle County",2020-04-12,2,39.8024262,-75.4675404,70
10003010300,"Census Tract 103","New Castle County",2020-04-19,5,39.8024262,-75.4675404,175
